20270;01140203700001;01140203700001;YSUR;LdS.x-1;YPF.Nq.LdS.x-1;GL;725.0;1753.5;2440076.74187855;5657146.2907127;Loma del Sueno;Neuquen;N/D;AMERICAS PETROGAS;1984-01-01;1;TOTORAL;Neuquen;YSUR;Projection unknown. Data from JAC;AMERICAS PETROGAS
30606;PLU.Nq.Ce-1561(d);PLU.Nq.Ce-1561(d);SEN;Ce-1561(d);PLU.Nq.Ce-1561(d);GL;358.61;3669.7;2567313.92264914;5693281.42801864;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-09-28;1561(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159049;UNKNOWN
30628;PLU.Nq.Ce-1577(d);PLU.Nq.Ce-1577(d);SEN;Ce-1577(d);PLU.Nq.Ce-1577(d);GL;359.77;3498.3;2568535.26377812;5692646.54160243;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-10-18;1577(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 160009;UNKNOWN
30644;PLU.Nq.Ce-1089;PLU.Nq.Ce-1089;SEN;Ce-1089;PLU.Nq.Ce-1089;GL;299.22;2304.0;2563464.85156008;5694390.93663346;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;;1089;;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 78279;UNKNOWN
30553;PLU.Nq.Ce-1483(d);PLU.Nq.Ce-1483(d);SEN;Ce-1483(d);PLU.Nq.Ce-1483(d);GL;269.27;2689.0;2571784.25261518;5690811.560269;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2014-03-11;1483(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 147194;UNKNOWN
30578;PLU.Nq.Ce-1515(d);PLU.Nq.Ce-1515(d);SEN;Ce-1515(d);PLU.Nq.Ce-1515(d);GL;273.91;2300.57;2566804.1141039;5693249.77725481;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-12-21;1515(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159047;UNKNOWN
30601;PLU.Nq.Ce-1556(d);PLU.Nq.Ce-1556(d);SEN;Ce-1556(d);PLU.Nq.Ce-1556(d);GL;356.81;3740.4;2568980.56821892;5693013.15987266;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-12-13;1556(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 157908;UNKNOWN
30626;PLU.Nq.Ce-1569(d);PLU.Nq.Ce-1569(d);SEN;Ce-1569(d);PLU.Nq.Ce-1569(d);GL;356.51;3930.0;2570058.71209429;5693524.17010214;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-06-03;1569(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159466;UNKNOWN
30638;PLU.Nq.Ce-1067;PLU.Nq.Ce-1067;SEN;Ce-1067;PLU.Nq.Ce-1067;GL;355.86;2652.0;2569551.80916993;5693362.88225571;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;;1067;;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 78244;UNKNOWN
294;AR32;AR32;;RdN.x-1;YPF.Nq.RdN.x-1;NA;;3100.0;2486523.18905049;5858235.33519355;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;1;;UNKNOWN;;;UNKNOWN
1321;DBE.IA-113;DBE.IA-113;;DBE.IA-113;DBE.IA-113;GL;500.0;900.0;2504109.1260704;5868794.29709295;DESFILADERO BAYO ESTE;UNKNOWN;UNKNOWN;UNKNOWN;;113;;UNKNOWN;;;UNKNOWN
14317;AR030000486300;AR030000486300;DBU-ASOC;JCP-2012;PLU.MdN.JCP-2012;GL;0.0;680.0;2550407.2199999997;5860993.0600000005;JAGUEL CASA DE PIEDRA;MENDOZA;MALARGUE;PLUSPETROL S.A;;2012;;NEUQUINA;;;PLUSPETROL S.A
